id,user_id,submitted_by,work_package_id,shop_stream_id,date,start_time,end_time,requested_minutes,reason_code,reason_text,status,created_at,updated_at
37,15,15,4,11,2026-03-02,18:00:00,23:00:00,300,MANPOWER_SHORTAGE,,APPROVED,2026-03-02T09:00:00+00:00,2026-03-03T13:00:00+00:00
38,15,15,4,11,2026-03-03,18:00:00,23:00:00,300,SCHEDULE_PRESSURE,,APPROVED,2026-03-03T09:00:00+00:00,2026-03-04T13:00:00+00:00
39,15,15,4,11,2026-03-04,18:00:00,23:00:00,300,BACKLOG,,APPROVED,2026-03-04T09:00:00+00:00,2026-03-05T13:00:00+00:00
40,15,15,4,11,2026-03-05,18:00:00,23:00:00,300,AOG,,APPROVED,2026-03-05T09:00:00+00:00,2026-03-06T13:00:00+00:00
41,15,15,4,11,2026-03-06,18:00:00,23:00:00,300,BACKLOG,,APPROVED,2026-03-06T09:00:00+00:00,2026-03-07T13:00:00+00:00
42,15,15,4,11,2026-03-08,18:00:00,23:00:00,300,MANPOWER_SHORTAGE,,APPROVED,2026-03-08T09:00:00+00:00,2026-03-09T13:00:00+00:00
43,15,15,4,11,2026-03-09,18:00:00,23:00:00,300,BACKLOG,,APPROVED,2026-03-09T09:00:00+00:00,2026-03-10T13:00:00+00:00
44,15,15,4,11,2026-03-10,18:00:00,23:00:00,300,SCHEDULE_PRESSURE,,APPROVED,2026-03-10T09:00:00+00:00,2026-03-11T13:00:00+00:00
45,15,15,4,11,2026-03-11,18:00:00,23:00:00,300,BACKLOG,,APPROVED,2026-03-11T09:00:00+00:00,2026-03-12T13:00:00+00:00
46,15,15,6,15,2026-03-12,18:00:00,23:00:00,300,AOG,,APPROVED,2026-03-12T09:00:00+00:00,2026-03-13T13:00:00+00:00
47,15,15,6,15,2026-03-13,18:00:00,23:00:00,300,BACKLOG,,APPROVED,2026-03-13T09:00:00+00:00,2026-03-14T13:00:00+00:00
48,15,15,6,15,2026-03-15,18:00:00,23:00:00,300,SCHEDULE_PRESSURE,,APPROVED,2026-03-15T09:00:00+00:00,2026-03-16T13:00:00+00:00
49,15,15,6,15,2026-03-16,18:00:00,23:00:00,300,MANPOWER_SHORTAGE,,APPROVED,2026-03-16T09:00:00+00:00,2026-03-17T13:00:00+00:00
50,14,14,4,11,2026-03-11,18:00:00,21:00:00,180,BACKLOG,,APPROVED,2026-03-11T09:00:00+00:00,2026-03-12T13:00:00+00:00
51,17,17,1,4,2026-03-17,18:00:00,20:00:00,120,SCHEDULE_PRESSURE,,APPROVED,2026-03-17T09:00:00+00:00,2026-03-18T13:00:00+00:00
52,18,6,1,1,2026-03-16,18:00:00,20:30:00,150,OTHER,Temporary labor requested by supervisor,PENDING,2026-03-16T09:00:00+00:00,2026-03-16T09:00:00+00:00
