id,actor_id,entity_type,entity_id,action,before_json,after_json,created_at
86,16,shop_stream,10,CREATE,,"{""work_package_id"": 4, ""shop_code"": ""STRUCT""}",2026-02-16T09:27:53+00:00
87,16,shop_stream,11,CREATE,,"{""work_package_id"": 4, ""shop_code"": ""ENG""}",2026-02-16T09:27:53+00:00
88,16,shop_stream,12,CREATE,,"{""work_package_id"": 4, ""shop_code"": ""QA""}",2026-02-16T09:27:53+00:00
99,2,task_item,101,CREATE,,"{""shop_id"": 1, ""aircraft_id"": 1, ""task_text"": ""Validate imported task template for A350 C01""}",2026-02-19T09:27:53+00:00
100,2,task_item,102,CREATE,,"{""shop_id"": 1, ""aircraft_id"": 2, ""task_text"": ""Cross-check manpower plan against latest meeting notes""}",2026-02-20T09:27:53+00:00
101,2,task_item,103,CREATE,,"{""shop_id"": 1, ""aircraft_id"": 3, ""task_text"": ""Prepare avionics kit issue tracker handover""}",2026-02-21T09:27:53+00:00
102,2,task_item,104,CREATE,,"{""shop_id"": 1, ""aircraft_id"": 1, ""task_text"": ""Review heavy-check open points with structures""}",2026-02-22T09:27:53+00:00
105,16,task_item,201,CREATE,,"{""shop_id"": 2, ""aircraft_id"": 1, ""task_text"": ""Open LH wing root panel and inspect corrosion""}",2026-02-21T09:27:53+00:00
106,16,task_item,202,CREATE,,"{""shop_id"": 2, ""aircraft_id"": 1, ""task_text"": ""Blend out frame 47 doubler damage""}",2026-02-22T09:27:53+00:00
107,16,task_item,203,CREATE,,"{""shop_id"": 2, ""aircraft_id"": 1, ""task_text"": ""Install replacement cargo liner supports""}",2026-02-16T09:27:53+00:00
108,16,task_item,204,CREATE,,"{""shop_id"": 2, ""aircraft_id"": 4, ""task_text"": ""Inspect seat track attachment at row 32""}",2026-02-17T09:27:53+00:00
126,16,task_item,301,CREATE,,"{""shop_id"": 3, ""aircraft_id"": 1, ""task_text"": ""Update ELT wiring harness routing""}",2026-02-16T09:27:53+00:00
127,16,task_item,302,CREATE,,"{""shop_id"": 3, ""aircraft_id"": 1, ""task_text"": ""Functional test SATCOM LRU after removal""}",2026-02-17T09:27:53+00:00
128,16,task_item,303,CREATE,,"{""shop_id"": 3, ""aircraft_id"": 2, ""task_text"": ""Install cabin IFE control unit patch""}",2026-02-18T09:27:53+00:00
129,16,task_item,304,CREATE,,"{""shop_id"": 3, ""aircraft_id"": 3, ""task_text"": ""Replace ADC cooling fan assembly""}",2026-02-19T09:27:53+00:00
154,2,task_snapshot,1,UPDATE,,"{""task_id"": 101, ""status"": ""COMPLETED"", ""mh_incurred_hours"": ""4.00""}",2026-03-17T09:27:53+00:00
155,4,task_snapshot,2,UPDATE,,"{""task_id"": 102, ""status"": ""IN_PROGRESS"", ""mh_incurred_hours"": ""2.70""}",2026-03-17T09:27:53+00:00
156,16,task_snapshot,3,UPDATE,,"{""task_id"": 103, ""status"": ""NOT_STARTED"", ""mh_incurred_hours"": ""0.00""}",2026-03-17T23:27:53+00:00
157,2,task_snapshot,4,UPDATE,,"{""task_id"": 104, ""status"": ""WAITING"", ""mh_incurred_hours"": ""1.80""}",2026-03-17T09:27:53+00:00
160,6,task_snapshot,7,UPDATE,,"{""task_id"": 201, ""status"": ""WAITING"", ""mh_incurred_hours"": ""16.80""}",2026-03-17T09:27:53+00:00
161,6,task_snapshot,8,UPDATE,,"{""task_id"": 202, ""status"": ""COMPLETED"", ""mh_incurred_hours"": ""16.00""}",2026-03-17T09:27:53+00:00
162,19,task_snapshot,9,UPDATE,,"{""task_id"": 203, ""status"": ""IN_PROGRESS"", ""mh_incurred_hours"": ""6.30""}",2026-03-17T09:27:53+00:00
163,7,task_snapshot,10,UPDATE,,"{""task_id"": 204, ""status"": ""IN_PROGRESS"", ""mh_incurred_hours"": ""6.30""}",2026-03-17T09:27:53+00:00
181,9,task_snapshot,28,UPDATE,,"{""task_id"": 301, ""status"": ""COMPLETED"", ""mh_incurred_hours"": ""10.00""}",2026-03-17T09:27:53+00:00
182,11,task_snapshot,29,UPDATE,,"{""task_id"": 302, ""status"": ""IN_PROGRESS"", ""mh_incurred_hours"": ""4.00""}",2026-03-17T09:27:53+00:00
183,16,task_snapshot,30,UPDATE,,"{""task_id"": 303, ""status"": ""NOT_STARTED"", ""mh_incurred_hours"": ""0.00""}",2026-03-17T23:27:53+00:00
184,9,task_snapshot,31,UPDATE,,"{""task_id"": 304, ""status"": ""COMPLETED"", ""mh_incurred_hours"": ""14.00""}",2026-03-17T09:27:53+00:00
209,1,ot_request,1,CREATE,,"{""user_id"": 1, ""status"": ""APPROVED"", ""minutes"": 180}",2026-03-03T09:00:00+00:00
210,1,ot_request,2,CREATE,,"{""user_id"": 1, ""status"": ""PENDING"", ""minutes"": 90}",2026-03-17T09:00:00+00:00
211,1,ot_request,3,CREATE,,"{""user_id"": 1, ""status"": ""ENDORSED"", ""minutes"": 120}",2026-03-14T09:00:00+00:00
212,3,ot_request,4,CREATE,,"{""user_id"": 3, ""status"": ""PENDING"", ""minutes"": 150}",2026-03-16T09:00:00+00:00
213,3,ot_request,5,CREATE,,"{""user_id"": 3, ""status"": ""APPROVED"", ""minutes"": 180}",2026-03-11T09:00:00+00:00
214,3,ot_request,6,CREATE,,"{""user_id"": 3, ""status"": ""CANCELLED"", ""minutes"": 120}",2026-03-13T09:00:00+00:00
215,4,ot_request,7,CREATE,,"{""user_id"": 4, ""status"": ""ENDORSED"", ""minutes"": 240}",2026-03-18T09:00:00+00:00
216,4,ot_request,8,CREATE,,"{""user_id"": 4, ""status"": ""APPROVED"", ""minutes"": 210}",2026-03-05T09:00:00+00:00
217,4,ot_request,9,CREATE,,"{""user_id"": 4, ""status"": ""REJECTED"", ""minutes"": 120}",2026-03-10T09:00:00+00:00
220,7,ot_request,12,CREATE,,"{""user_id"": 7, ""status"": ""APPROVED"", ""minutes"": 180}",2026-02-24T09:00:00+00:00
221,6,ot_request,13,CREATE,,"{""user_id"": 7, ""status"": ""APPROVED"", ""minutes"": 240}",2026-03-04T09:00:00+00:00
222,6,ot_request,14,CREATE,,"{""user_id"": 7, ""status"": ""PENDING"", ""minutes"": 180}",2026-03-17T09:00:00+00:00
232,10,ot_request,24,CREATE,,"{""user_id"": 10, ""status"": ""APPROVED"", ""minutes"": 180}",2026-03-04T09:00:00+00:00
233,10,ot_request,25,CREATE,,"{""user_id"": 10, ""status"": ""PENDING"", ""minutes"": 180}",2026-03-17T09:00:00+00:00
261,2,ot_approval,1,APPROVE,,"{""ot_request_id"": 1, ""stage"": ""ENDORSE""}",2026-03-03T21:00:00+00:00
262,16,ot_approval,2,APPROVE,,"{""ot_request_id"": 1, ""stage"": ""APPROVE""}",2026-03-04T13:00:00+00:00
263,2,ot_approval,3,APPROVE,,"{""ot_request_id"": 3, ""stage"": ""ENDORSE""}",2026-03-14T21:00:00+00:00
264,2,ot_approval,4,APPROVE,,"{""ot_request_id"": 5, ""stage"": ""ENDORSE""}",2026-03-11T21:00:00+00:00
265,16,ot_approval,5,APPROVE,,"{""ot_request_id"": 5, ""stage"": ""APPROVE""}",2026-03-12T13:00:00+00:00
266,2,ot_approval,6,APPROVE,,"{""ot_request_id"": 7, ""stage"": ""ENDORSE""}",2026-03-18T21:00:00+00:00
267,2,ot_approval,7,APPROVE,,"{""ot_request_id"": 8, ""stage"": ""ENDORSE""}",2026-03-05T21:00:00+00:00
268,16,ot_approval,8,APPROVE,,"{""ot_request_id"": 8, ""stage"": ""APPROVE""}",2026-03-06T13:00:00+00:00
269,2,ot_approval,9,APPROVE,,"{""ot_request_id"": 9, ""stage"": ""ENDORSE""}",2026-03-10T21:00:00+00:00
270,16,ot_approval,10,REJECT,,"{""ot_request_id"": 9, ""stage"": ""APPROVE""}",2026-03-11T13:00:00+00:00
274,6,ot_approval,14,APPROVE,,"{""ot_request_id"": 12, ""stage"": ""ENDORSE""}",2026-02-24T21:00:00+00:00
275,16,ot_approval,15,APPROVE,,"{""ot_request_id"": 12, ""stage"": ""APPROVE""}",2026-02-25T13:00:00+00:00
276,6,ot_approval,16,APPROVE,,"{""ot_request_id"": 13, ""stage"": ""ENDORSE""}",2026-03-04T21:00:00+00:00
277,16,ot_approval,17,APPROVE,,"{""ot_request_id"": 13, ""stage"": ""APPROVE""}",2026-03-05T13:00:00+00:00
289,9,ot_approval,29,APPROVE,,"{""ot_request_id"": 24, ""stage"": ""ENDORSE""}",2026-03-04T21:00:00+00:00
290,16,ot_approval,30,APPROVE,,"{""ot_request_id"": 24, ""stage"": ""APPROVE""}",2026-03-05T13:00:00+00:00
